[TEXTURES]
#id	#path	#R	#G	#B
4	textures\Torch.png	NULL	NULL	NULL
8	textures\BrickType1.png	NULL	NULL	NULL



[SPRITES]
# id	#left	#top	#right	#bottom	#texture_id
#==========TORCH==========
torch0	0	0	32	64	4
torch1	33	0	65	64	4

#==========BRICK==========
brick1	0	0	32	32	8




[ANIMATIONS]
# ani_id	#sprite1_id	#time1	#sprite2_id	#time2	...
#========== TORCH=========
torchAni	torch0	150	torch1	150

#========== BRICK=========
brick1Ani	brick1	100



[ANIMATION_SETS]
# id	ani1	ani2	ani3	....
#==========TORCH=========
4	torchAni	disapearAni

#==========BRICK=========
8	brick1Ani





[OBJECTS]
#==========HIDDEN OBJECT==========
#type	x	y	item	isMoving
#isMoving =1 (Moving from below the ground) 
22	1250	322	211	1



#==========BRICK TYPE 1==========
# type	x	y	ani_set_id	item	typeObject	colCell	rowCell
# typeObject = 0 (Static Object) || typeObject = 2 (Hidden Brick)
# item = 1 (Brick to Active Hidden Item)
8	-20.0	192.0	8	-1	6	0	1
8	-20.0	224.0	8	-1	6	0	1
8	-20.0	256.0	8	-1	6	0	1
8 	-20.0	288.0	8	-1	6	0	1
8	-20.0	320.0	8	-1	6	0	1
8	0.0	320.0	8	-1	0	0	1
8	32.0	320.0	8	-1	0	0	1
8	64.0	320.0	8	-1	0	0	1
8	96.0	320.0	8	-1	0	0	1
8	128.0	320.0	8	-1	0	0	1
8	160.0	320.0	8	-1	0	0	1
8	192.0	320.0	8	-1	0	0	1
8	224.0	320.0	8	-1	0	0	1
8	256.0	320.0	8	-1	0	1	1
8	288.0	320.0	8	-1	0	1	1
8	320.0	320.0	8	-1	0	1	1
8	352.0	320.0	8	-1	0	1	1
8	384.0	320.0	8	-1	0	1	1
8	416.0	320.0	8	-1	0	1	1
8	448.0	320.0	8	-1	0	1	1
8	480.0	320.0	8	-1	0	1	1
8	512.0	320.0	8	-1	0	2	1
8	544.0	320.0	8	-1	0	2	1
8	576.0	320.0	8	-1	0	2	1
8	608.0	320.0	8	-1	0	2	1
8	640.0	320.0	8	-1	0	2	1
8	672.0	320.0	8	-1	0	2	1
8	704.0	320.0	8	-1	0	2	1
8	736.0	320.0	8	-1	0	2	1
8	768.0	320.0	8	-1	0	3	1
8	800.0	320.0	8	-1	0	3	1
8	832.0	320.0	8	-1	0	3	1
8	864.0	320.0	8	-1	0	3	1
8	896.0	320.0	8	-1	0	3	1
8	928.0	320.0	8	-1	0	3	1
8	960.0	320.0	8	-1	0	3	1
8	992.0	320.0	8	-1	0	3	1
8	1024.0	320.0	8	-1	0	4	1
8	1056.0	320.0	8	-1	0	4	1
8	1088.0	320.0	8	-1	0	4	1
8	1120.0	320.0	8	-1	0	4	1
8	1152.0	320.0	8	-1	0	4	1
8	1184.0	320.0	8	-1	0	4	1
8	1216.0	320.0	8	-1	0	4	1
8	1248.0	320.0	8	-1	0	4	1
8	1280.0	320.0	8	-1	0	5	1
8	1312.0	320.0	8	-1	0	5	1
8	1344.0	320.0	8	-1	0	5	1
8	1376.0	320.0	8	-1	0	5	1
8	1408.0	320.0	8	-1	0	5	1
8	1440.0	320.0	8	-1	0	5	1
8	1472.0	320.0	8	1	0	5	1
8	1504.0	320.0	8	-1	0	5	1
8	1533.0	288.0	8	-1	6	5	1
8	1533.0	256.0	8	-1	6	5	1
8	1533.0	224.0	8	-1	6	5	1
8	1533.0	192.0	8	-1	6	5	1
8	1533.0	160.0	8	-1	6	5	1




# ==========TORCH==========
# type	x	y	ani_set_id	item	typeObject	colCell	rowCell
# typeObject = 0 (Static Object)
4 	177.0 	255.0 	4	202	0	0	1
4 	433.0 	255.0 	4	200	0	1	1
4 	687.0 	255.0 	4	200	0	2	1
4 	943.0 	255.0 	4	202	0	3	1
4 	1199.0 	255.0 	4	214	0	4	1



#==========PORTAL==========
# type	left	top	ani_set_id	right	bottom	scene_id	colCell	rowCell
100	1374	300	0	1376	320	2	5	1
