[TEXTURES]
#id	#path	#R	#G	#B
8	textures\BrickType2.png	NULL	NULL	NULL
6	textures\BlackKnight.png	NULL	NULL	NULL
7	textures\Candle.png	NULL	NULL	NULL
10	textures\Vampirebat.png	NULL	NULL	NULL
11	textures\StairType2.png	NULL	NULL	NULL
23	textures\ChunkFromBrokenBlockB.png	NULL	NULL	NULL




[SPRITES]
# id	#left	#top	#right	#bottom	#texture_id
#==========CANDLE==========
candle0	0	0	16	32	7
candle1	19	0	35	32	7

#==========BLACK KNIGHT==========
blackKnightWalking0	0	0	32	64	6
blackKnightWalking1	34	0	66	64	6
blackKnightWalking2	68	0	100	64	6

#==========BRICK==========
brick1	0	0	32	32	8

#==========VAMPIRE BAT==========
vampirebatIdle	4	0	28	28	10
vampirebatFly0	35	0	67	32	10
vampirebatFly1	70	8	102	28	10
vampirebatFly2	105	4	137	32	10

#==========STAIR==========
stairLeftRight	0	0	16	16	11

#==========BROKEN BRICK EFFECT==========
brokenBlock0	0	0	115	135	23
brokenBlock1	127	0	242	135	23
brokenBlock2	252	0	367	135	23
brokenBlock3	380	0	495	135	23
brokenBlock4	507	0	622	135	23
brokenBlock5	635	0	750	135	23





[ANIMATIONS]
# ani_id	#sprite1_id	#time1	#sprite2_id	#time2	...
# ========== CANDLE=========
candleAni	candle0	100	candle1	100

# ========== BLACK KNIGHT=========
blackKnightAni	blackKnightWalking0	150	blackKnightWalking1	150	blackKnightWalking2	150

# ========== BRICK TYPE 2=========
brick1Ani	brick1	100

# ========== VAMPIRE BAT=========
vampirebatIdleani	vampirebatIdle	100
vampirebatFlyAni	vampirebatFly0	150	vampirebatFly1	150	vampirebatFly2	150

# ========== STAIR TYPE 2=========
stairLeftRightAni	stairLeftRight	100

# ========== BROKEN BRICK EFFECT =========
brokenBlockAni	brokenBlock0	50	brokenBlock1	50	brokenBlock2	50	brokenBlock3	50	brokenBlock4	50	brokenBlock5	50







[ANIMATION_SETS]
# id	ani1	ani2	ani3	....
# ========== BLACK KNIGHT=========
6	blackKnightAni	disapearAni

#========== CANDLE ==========
7	candleAni	disapearSmallAni

#========== BRICK ==========
8	brick1Ani	brokenBlockAni

#========== VAMPIRE BAT ==========
10	vampirebatFlyAni	disapearSmallAni	vampirebatIdleani

#========== STAIR TYPE 2 ==========
11	stairLeftRightAni






[OBJECTS]
#==========HIDDEN OBJECT==========
#type	x	y	item	isMoving
#isMoving =1 (Moving from below the ground) 
22	257	320	213	1


#==========BRICK TYPE 2==========
# type	x	y	ani_set_id	item	typeObject	colCell	rowCell
# typeObject = 0 (Static Object) || typeObject = 2 (Hidden Brick) || typeObject = 2 (Slim Brick)
# item = 1 (Brick to Active Hidden Item) || item = 0 (Broken brick)
8	0.0	0.0	8	-1	0	0	0
8	0.0	32.0	8	-1	0	0	0
8	0.0	64.0	8	-1	0	0	0
8	0.0	96.0	8	-1	0	0	0
8	32.0	96.0	8	-1	0	0	0
8	32.0	128.0	8	-1	0	0	0
8	64.0	128.0	8	-1	0	0	0
8	96.0	128.0	8	-1	0	0	0
8	128.0	128.0	8	-1	0	0	0
8	160.0	128.0	8	-1	0	0	0
8	192.0	128.0	8	-1	0	0	0
8	224.0	128.0	8	-1	0	0	0
8	256.0	128.0	8	-1	0	1	0
8	288.0	128.0	8	-1	0	1	0
8	32.0	160.0	8	-1	0	0	0
8	32.0	192.0	8	-1	0	0	1
8	0.0	224.0	8	-1	6	0	1
8	0.0	256.0	8	-1	6	0	1
8	0.0	288.0	8	-1	6	0	1
8	0.0	320.0	8	-1	6	0	1
8	32.0	320.0	8	-1	0	0	1
8	64.0	320.0	8	-1	0	0	1
8	96.0	320.0	8	-1	0	0	1
8	128.0	320.0	8	-1	0	0	1
8	160.0	320.0	8	-1	0	0	1
8	192.0	320.0	8	-1	0	0	1
8	224.0	320.0	8	-1	0	0	1
8	256.0	320.0	8	-1	0	1	1
8	288.0	320.0	8	-1	0	1	1
8	320.0	320.0	8	-1	0	1	1
8	352.0	320.0	8	-1	0	1	1
8	384.0	320.0	8	-1	0	1	1
8	416.0	320.0	8	-1	0	1	1
8	448.0	320.0	8	-1	0	1	1
8	448.0	288.0	8	-1	0	1	1
8	448.0	256.0	8	-1	0	1	1
8	448.0	224.0	8	-1	0	1	1
8	448.0	96.0	8	-1	0	1	0
8	448.0	64.0	8	-1	0	1	0
8	448.0	32.0	8	-1	0	1	0
8	448.0	0.0	8	-1	0	1	0
8	416.0	192.0	8	-1	4	1	1
8	384.0	192.0	8	-1	4	1	1
8	352.0	192.0	8	-1	4	1	1
8	449.0	192.0	8	1	0	1	1
8	448.0	160.0	8	0	0	1	0
8	448.0	128.0	8	0	0	1	0
8	480.0	160.0	8	-1	0	1	0
8	480.0	128.0	8	-1	0	1	0

#BRICK FOR ENEMY
8	308.0	106.0	8	-1	5	1	0
8	33.0	98.0	8	-1	5	0	0



#========== STAIR ==========
# type	x	y	ani_set_id	objectType	colCell	rowCell	stairDirection	breakPoint
# stairDirection = 0 (LEFT - RIGHT) || stairDirection = 1 (RIGHT - LEFT)
# breakPoint = -1 (Bottom Stair) || breakPoint = 1 (Top Stair) || breakPoint = 0 (Step)
11	225.0	317.0	11	0	1	1	0	-1
11	224.0	304.0	11	0	0	1	0	0
11	240.0	290.0	11	0	0	1	0	0
11	256.0	274.0	11	0	1	1	0	0
11	272.0	258.0	11	0	1	1	0	0
11	288.0	242.0	11	0	1	1	0	0
11	304.0	226.0	11	0	1	1	0	0
11	336.0	194.0	11	0	1	1	0	0
11	320.0	210.0	11	0	1	1	0	0
11	336.0	173.0	11	0	1	0	0	1
11	162.0	124.0	11	0	1	1	0	-1
11	160.0	110.0	11	0	0	0	0	0
11	176.0	96.0	11	0	0	0	0	0
